更新日期,#genre#
2026-02-28,https://codeberg.org/alantang/photo/raw/branch/main/Robot.mp4
🍎┃广东频道,#genre#
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487$IPV4•线路1
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=e381ab098841a0badbf7e11f24143cf7&txTime=18e6ff43701$IPV4•线路2
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd$IPV4•线路3
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8$IPV4•线路4
广州综合,https://tencentplaybusiness.gztv.com/live/zonghes.m3u8$IPV4•线路5
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe$IPV4•线路6
广州综合,http://r.jdshipin.com/iR6Gq$IPV4•线路7
广州综合,http://r.jdshipin.com/snhya$IPV4•线路8
广州综合,http://113.101.244.11:10000/rtp/239.253.43.71:5146$IPV4•线路9
广州综合,http://113.102.83.97:4022/rtp/239.253.43.71:5146$IPV4•线路10
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=439b0fd2cf766b363c93a59cbcbe1370&txTime=18d00acf488$IPV4•线路11
广州综合,http://tencentplaygzrb.gztv.com/sec/zonghes.m3u8$IPV4•线路12
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=6f73647cae387d01a3c2132074132a83&txTime=18d00acf487$IPV4•线路1
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d217bd6cf85c93e3b47b96504cd2dc1c&txTime=18e6ff29019$IPV4•线路2
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a$IPV4•线路3
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3$IPV4•线路4
广州新闻,https://tencentplaybusiness.gztv.com/live/xinwen.m3u8$IPV4•线路5
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen$IPV4•线路6
广州新闻,http://113.101.244.11:10000/rtp/239.253.43.72:5146$IPV4•线路7
广州新闻,http://113.102.83.97:4022/rtp/239.253.43.72:5146$IPV4•线路8
广州新闻,http://tencentplaygzrb.gztv.com/sec/xinwen.m3u8$IPV4•线路9
广东珠江,http://go.bkpcp.top/mg/gdzj$IPV4•线路1
广东珠江,http://m.061899.xyz/mg/gdzj$IPV4•线路2
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8$IPV4•线路3
广东珠江,http://r.jdshipin.com/sE5vO$IPV4•线路4
广东珠江,http://cdn2.132.us.kg/live/gdzj/stream.m3u8$IPV4•线路5
广东珠江,http://gmxw.7766.org:808/hls/83/index.m3u8$IPV4•线路6
广东珠江,http://183.11.239.36:808/hls/83/index.m3u8$IPV4•线路7
广东珠江,http://lu.wqwqwq.sbs/itv/2000000003000000033.m3u8?cdn=hnbblive$IPV4•线路8
广东珠江,http://cdn2.veryfast.filegear-sg.me/live/gdzj/stream.m3u8$IPV4•线路9
广东珠江,http://171.38.107.33:8282/tsfile/live/1000_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$IPV4•线路10
广东珠江,$IPV4•线路11
广东珠江,http://iptv.4666888.xyz/iptv2A.php?id=19$IPV4•线路12
广东珠江,https://smt.858.qzz.io/Smart.php?id=zhujiang$IPV4•线路13
广州影视频道,http://tencentplaygzrb01.gztv.com/live/yingshi.m3u8$IPV4•线路1
广州影视频道,http://php.jdshipin.com:8880/gztv.php?id=yingshi$IPV4•线路2
广州电视台法治频道,http://tencentplaygzrb01.gztv.com/live/fazhi.m3u8$IPV4•线路1
广州电视台法治频道,http://php.jdshipin.com:8880/gztv.php?id=fazhi$IPV4•线路2
广州南国都市频道,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8$IPV4
4K南国都市频道,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227241/1.m3u8$IPV4
广州竞赛频道,http://tencentplaygzrb01.gztv.com/live/jingsai.m3u8$IPV4•线路1
广州竞赛频道,http://php.jdshipin.com:8880/gztv.php?id=jingsai$IPV4•线路2
广东体育,http://go.bkpcp.top/mg/gdty$IPV4•线路1
广东体育,http://116.77.239.26:44300/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路2
广东体育,http://m.061899.xyz/mg/gdty$IPV4•线路3
广东体育,http://111.221.137.152:44330/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路4
广东体育,http://r.jdshipin.com/LiYdg$IPV4•线路5
广东体育,http://cdn2.163189.xyz/live/gdty/stream.m3u8$IPV4•线路6
广东体育,http://cdn2.132.us.kg/live/gdty/stream.m3u8$IPV4•线路7
广东体育,https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8$IPV4•线路8
广东体育,http://183.11.239.36:808/hls/2/index.m3u8$IPV4•线路9
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8$IPV4•线路10
广东体育,http://cdn2.veryfast.filegear-sg.me/live/gdty/stream.m3u8$IPV4•线路11
广东体育,http://171.38.107.33:8282/tsfile/live/1010_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$IPV4•线路12
广东体育,http://hub.sohu.blog/gdtv.php?id=47$IPV4•线路13
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty$IPV4•线路14
广东体育,http://net.manyee.net:18888/rtp/239.77.0.112:5146$IPV4•线路15
广东体育,http://iptv.4666888.xyz/iptv2A.php?id=20$IPV4•线路16
广东体育,http://74.91.26.218:82/live/gdty.m3u8$IPV4•线路17
广东体育,http://183.57.249.188:8183/tsfile/live/1000_1.m3u8$IPV4•线路18
广东体育,http://120.238.85.131:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路19
广东民生,http://go.bkpcp.top/mg/gdms$IPV4•线路1
广东民生,http://m.061899.xyz/mg/gdms$IPV4•线路2
广东民生,http://119.32.12.17:2901/udp/224.1.100.4:11111$IPV4•线路3
广东民生,http://183.11.239.36:808/hls/18/index.m3u8$IPV4•线路4
广东综艺,http://113.101.244.11:10000/rtp/239.77.1.237:5146$IPV4•线路1
广东综艺,http://113.102.83.97:4022/rtp/239.77.1.237:5146$IPV4•线路2
广东影视,http://go.bkpcp.top/mg/gdys$IPV4•线路1
广东影视,http://119.32.12.17:2901/udp/224.1.100.11:11111$IPV4•线路2
广东影视,http://183.57.249.188:8183/tsfile/live/1004_1.m3u8$IPV4•线路3
广东影视,https://hlsbkmgsplive.miguvideo.com/wd_r1/2018/nfmedia/nfys/1000/01.m3u8?&HlsSubType=&encrypt=$IPV4•线路4
广东影视,http://120.238.85.131:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路5
经济科教,http://119.32.12.17:2901/udp/224.1.100.6:11111$IPV4•线路1
经济科教,https://pili-live-hls.kingsmedia.cn/metoo-live/ce834303bb1a4459a3ea8c4c01d3ae84.m3u8$IPV4•线路2
岭南戏曲,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226438/1.m3u8$IPV4•线路1
岭南戏曲,http://219.150.217.47:6610/PLTV1/840/index.m3u8?icpid=dxrm1$IPV4•线路2
岭南戏曲,http://39.165.39.49:19901/tsfile/live/1118_1.m3u8$IPV4•线路3
岭南戏曲,http://www.lwfz.fun:8800/rtp/239.16.10.148:2000$IPV4•线路4
岭南戏曲,http://www.lwfz.fun:8800/rtp/239.16.10.76:2000$IPV4•线路5
岭南戏曲,http://www.cdnstv.com:6398/hls/1119/index.m3u8$IPV4•线路6
大湾区卫视,http://36.136.38.87:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路1
大湾区卫视,http://go.bkpcp.top/mg/gddwq$IPV4•线路2
大湾区卫视,http://120.87.4.28:80/PLTV/88888973/224/3221226652/10000100000000060000000002048490_0.smil/01.m3u8?fmt=ts2hls,1666,01.m3u8,0,7813,0,0&accountinfo=DFCRdMxijF4zrGtLIr5cFqbfS82Ez9PXCN%2Bgik%2BloU%2FpQANH5JgCEW4yFOvWWcHfgo4dffONV39hM7OmkB%2BynH4B3UIEEPyRkVd1yj5rnKfoZZmi3WHZaqnGK0Ch6B%2FH%3A20230825091055%2C9076950053888%2C220.198.104.115%2C20230825091055%2C10000100000000050000000002191320%2C9B94DE4B7BF376A597BFFDBB48635CBC%2C-1%2C1%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2$IPV4•线路3
大湾区卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227278/1.m3u8$IPV4•线路4
大湾区卫视,https://smart.946985.filegear-sg.me/smart.php?id=nanfang_twn$IPV4•线路5
大湾区卫视,http://www.wmviv.com/iptv/bc2t.php?id=dwqws$IPV4•线路6
大湾区卫视,http://148.135.93.213/live.php?id=大湾区卫视$IPV4•线路7
大湾区卫视,http://ali.hlspull.yximgs.com/live/b027460e580a463cb7e44eebexcvhnddggdfsdg.flv$IPV4•线路8
大湾区卫视,http://38.75.136.137:98/gslb/dsdqpub/nfws.m3u8?auth=testpub$IPV4•线路9
大湾区卫视,http://tvbox6.icu/tv/dwqws.m3u8$IPV4•线路10
大湾区卫视,http://go.bkpcp.top/mg/dwqws$IPV4•线路11
大湾区卫视,http://113.101.244.11:10000/rtp/239.77.0.215:5146$IPV4•线路12
大湾区卫视,http://113.102.83.97:4022/rtp/239.77.0.215:5146$IPV4•线路13
大湾区卫视,http://z.b.bkpcp.top/m.php?id=dwqws$IPV4•线路14
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8$IPV4•线路15
大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8$IPV4•线路16
大湾区卫视,http://gmxw.7766.org:808/hls/132/index.m3u8$IPV4•线路17
大湾区卫视,http://183.57.249.188:8183/tsfile/live/1002_1.m3u8$IPV4•线路18
🥝┃央视频道,#genre#
CCTV1,https://xmlive.zeabur.app/yw/whyd?id=cctv1$IPV4•线路1
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1$IPV4•线路2
CCTV1,http://go.bkpcp.top/mg/cctv1$IPV4•线路3
CCTV1,http://m.061899.xyz/mg/cctv1$IPV4•线路4
CCTV1,http://116.77.239.26:44300/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路5
CCTV1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8$IPV4•线路6
CCTV1,http://111.29.9.33:6610/000000001000/1000000001000021973/index.m3u8?channel-id=bestzb&Contentid=1000000001000021973&livemode=1&stbId=3$IPV4•线路7
CCTV1,http://112.89.65.22/PLTV/88888973/224/3221225768/10000100000000060000000000337107_0.smil/01.m3u8?fmt=ts2hls,744,01.m3u8,0,7888,0,0&accountinfo=qL9TLkIYsZmx/OPSOG6mNAvyKOCScAe4hrX9Vo6puxGXw3qZ5Pmje9vqMpXjLeht0QDDT6IKU9j92Y9VVzXnz1yKE+1kYZFvmxPE4nzwhgNrHuVhR6YNUldj/Yz5MfMB:20200814173311,END&GuardEncType=2$IPV4•线路8
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227637/index.m3u8$IPV4•线路9
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227544/index.m3u8$IPV4•线路10
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226190/index.m3u8$IPV4•线路11
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226675/index.m3u8$IPV4•线路12
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226721/index.m3u8$IPV4•线路13
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226998/index.m3u8$IPV4•线路14
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227209/index.m3u8$IPV4•线路15
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227461/index.m3u8$IPV4•线路16
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227574/index.m3u8$IPV4•线路17
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226179/index.m3u8$IPV4•线路18
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226759/index.m3u8$IPV4•线路19
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226976/index.m3u8$IPV4•线路20
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227010/index.m3u8$IPV4•线路21
CCTV1,http://111.48.34.138/000000001000PLTV/88888888/224/3221229665/1.m3u8$IPV4•线路22
CCTV1,http://111.48.34.138/000000001000PLTV/88888888/224/3221230440/1.m3u8$IPV4•线路23
CCTV1,http://111.48.34.138/000000001000PLTV/88888888/224/3221229968/1.m3u8$IPV4•线路24
CCTV1,http://111.48.34.138/000000001000PLTV/88888888/224/3221230563/1.m3u8$IPV4•线路25
CCTV1,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226691/.m3u8$IPV4•线路26
CCTV1,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226113/.m3u8$IPV4•线路27
CCTV1,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226731/.m3u8$IPV4•线路28
